date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF
2009-04-01,0,0,33,5,9,266,W,317,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0037_cloudy_with_sleet_night.png,Light sleet,0.2,0.0,100.0,9.0,5.0,1018.0,30.0,98.0,0.0,33.0,0.0,33.0,-3.0,26.0,9.0,14.0,-3.0,26.0
2009-04-01,1200,2,35,6,9,191,S,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.3,0.0,100.0,2.0,1.0,1011.0,30.0,100.0,2.0,35.0,2.0,35.0,-3.0,27.0,12.0,20.0,-3.0,27.0
2009-04-02,0,0,32,10,17,303,WNW,338,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0036_cloudy_with_heavy_snow_night.png,Heavy snow,0.6,0.0,97.0,2.0,1.0,1011.0,30.0,100.0,0.0,32.0,0.0,32.0,-5.0,22.0,16.0,27.0,-5.0,22.0
2009-04-02,1200,1,33,8,13,308,NW,338,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0020_cloudy_with_heavy_snow.png,Heavy snow,0.4,0.0,99.0,2.0,1.0,1017.0,30.0,100.0,1.0,33.0,0.0,33.0,-4.0,24.0,12.0,19.0,-4.0,24.0
2009-04-03,0,-3,28,7,12,317,NW,332,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0036_cloudy_with_heavy_snow_night.png,Moderate snow,0.1,0.0,98.0,5.0,3.0,1019.0,30.0,100.0,-3.0,28.0,-3.0,27.0,-7.0,19.0,12.0,19.0,-7.0,19.0
2009-04-03,1200,1,33,7,12,221,SW,338,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0020_cloudy_with_heavy_snow.png,Heavy snow,1.3,0.1,98.0,2.0,1.0,1012.0,30.0,100.0,1.0,33.0,0.0,33.0,-4.0,25.0,11.0,18.0,-4.0,25.0
2009-04-04,0,1,33,6,9,327,NNW,338,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0036_cloudy_with_heavy_snow_night.png,Heavy snow,0.2,0.0,99.0,2.0,1.0,1009.0,30.0,100.0,1.0,33.0,1.0,33.0,-3.0,26.0,9.0,14.0,-3.0,26.0
2009-04-04,1200,0,32,8,13,340,NNW,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.0,0.0,92.0,10.0,6.0,1016.0,30.0,87.0,0.0,32.0,-1.0,30.0,-4.0,24.0,12.0,19.0,-4.0,24.0
2009-04-05,0,-6,21,2,3,232,SW,260,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Freezing fog,0.0,0.0,98.0,0.0,0.0,1019.0,30.0,25.0,-6.0,21.0,-7.0,20.0,-6.0,21.0,4.0,7.0,-6.0,21.0
2009-04-05,1200,2,36,3,5,190,S,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,98.0,10.0,6.0,1014.0,30.0,100.0,2.0,36.0,2.0,36.0,-2.0,29.0,5.0,8.0,-2.0,29.0
